user_posted_str,influence_usr_log
25067168,0.6935800085574613
76987535,0.10305511671375554
33668152,0.03344083586830209
993859812,7.92089770223825e-05
370666310,0.010339721413430515
1550984940,0.0018578264490327625
1867323613,0.0017549964843894374
51375286,0.06265002131052344
244140469,0.09220239964684755
15179702,0.030374184663400517
2932866307,0.00017936257398272205
230451717,0.07277218810672555
15612415,0.06392525108871974
316485110,0.40066125369616307
49050206,0.01372328074950282
52532503,0.2757711074407927
2378679877,0.003640423476692423
21036397,0.059469693232317815
973662702,2.8680924005630717e-05
128174162,0.157088660383209
2457099590,0.018823302988935885
2365314997,0.0018009214348142957
35258653,0.16963442515160632
302555962,0.0017685739510515666
47886560,0.0069628495525547954
399184212,0.04118845460547252
1637905970,0.0037270253201535657
225153590,0.03329951039563786
150742520,0.008623497559152017
155517977,0.030157037806448583
14784677,0.06138154633810564
41394240,0.3404097339250277
421296415,0.37676816947536185
2688202392,0.008795601035508095
365093701,0.026394410312962257
23116875,0.3897960650921735
292142817,0.13752117017867557
1924541408,0.005303573292346409
14589950,0.006962599653409818
59753891,0.17660355575137732
409878867,0.39765958897709913
77299847,0.29857478520336617
747510991,0.017370015237122605
25665242,0.13772560186827565
1245905149,4.063635197857352e-05
17463137,0.030143457775618155
366724407,0.05667156085687597
302831340,0.005298440614992384
57377653,0.39978906525298774
23180169,0.02041244946802503
106204756,0.0349816293248467
329106031,0.3054687881224069
16735106,0.40150229475965826
51116628,0.01868197164390004
2173775945,0.0020381562963600166
14784684,0.13127315948838594
573712349,0.00531565130526901
164199074,0.01379690801623239
6133472,0.3242378823283948
217088474,0.0870389820565856
322028243,0.1904698444657852
18716224,0.19764001531398098
1180049252,0.0002387068489318356
130797956,0.02038959547764927
586567996,0.018839381177836366
107281922,0.05197747662115191
14561418,0.2626360058408404
194068377,0.003556128783437274
100267750,0.015501242956613483
17806927,0.012065236377950584
223443135,0.04280548279559189
27354052,0.010315387505928666
247203598,0.06775782543445538
377280141,0.0069983500893505916
53400401,0.03813021080892538
47587242,0.0398070804587475
2252458512,0.11005793916407157
1708221920,0.03176744877234334
36033351,0.06537983512925045
5902592,0.12490313915420521
141318725,0.022037798530111632
1073662237,0.03034443751861766
148155433,0.12650377870739957
308494875,0.036714056836606626
51028332,0.04288528152588538
2942567129,0.001936098376460338
190670597,0.0334443573456273
17270769,0.23261732211231106
427709925,0.013796386513208025
56990892,0.17821351766156562
2463065714,0.0801427201070907
2788225609,0.02015949491381037
66953003,0.005229673915739053
436562022,0.005237776710290154
14371600,0.435577196544587
38152425,0.001955240758690291
246330863,0.0035235843560002425
819103542,2.9436278571015607e-05
225556859,0.06453507110272053
269852701,0.028549315208872987
121163785,0.03024143217655393
289309303,0.02535188454673709
392580114,0.020458677355086465
185592069,0.11867906309295737
47402186,0.0476218371999321
83601577,0.09179067267905494
80086323,0.013734930387171485
121720847,0.01064179189140604
2312367504,0.013831544960154886
192185592,0.008667546999065136
2356861053,0.008737835953769358
264348390,0.055078229490371694
184732662,0.05039842298834501
968651658,0.033495127204115564
10274252,0.4096475744540315
110418777,0.1685933174738935
212915553,0.006929004268792839
52847079,0.015455912239926707
2513438480,0.005288305558595586
1079210822,0.07016888634448208
1133501083,0.00013565686495797813
14542355,0.04594404672414636
233271209,0.3977501466886056
180730203,0.2558860903669371
118034038,0.012076656660472286
55386678,0.005274804243804932
262222386,0.09986673311819644
169962449,0.3668334949044762
2960208454,3.475238788448465e-05
250672627,0.24859551225862758
162145496,0.013746429991874897
111261366,0.06391011497691057
435909599,0.05966835590892297
185287105,0.06128862062539762
93077846,0.3390136457404702
304404850,0.01038019500564067
1624083457,0.0035794716372815395
19151003,0.005238212278815003
282798838,0.012074724235527735
432891887,0.014300228267296244
303639662,0.0317811372449075
614474783,0.009602268419827765
288932688,0.0037467115643546214
1349485188,0.022189192328077215
94304419,0.01390536094630992
1934965104,0.013708679045156024
88146816,0.28608024927177805
14616390,0.018705188025234375
695753,0.36229071908403665
146980794,0.07278129237331074
